rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
15642,IDN,Indonesia,Amamapare Port power station,WRI1075798,195.0,-4.8278,136.8391,Coal,,,,1998.0,PT Puncakjaya Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1061.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15643,IDN,Indonesia,Ampenan,WRI1000736,56.284,-8.5667,116.0667,Oil,,,,,PLN - West Nusa Tenggara Regional Unit/NTB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026032,,,,,,,,,,,,,,101.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15644,IDN,Indonesia,Amurang power station,WRI1075799,60.0,1.1825,124.4806,Coal,,,,2012.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15645,IDN,Indonesia,Asahan I,WRI1000737,180.0,2.5113,99.259,Hydro,,,,,PT Bajradaya Sentranusa (China Huadian Corporation 70% + PJB 26.5%+Nusa Konstruksi Engineering 3.5%),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1076093,,,,,,,,,,614.23,443.82,523.3,555.94,592.43,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15646,IDN,Indonesia,Bakaru,WRI1000738,126.0,-3.1141,119.6042,Hydro,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026035,,,,,,,,,,423.6,334.58,350.67,415.34,424.69,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15647,IDN,Indonesia,Balambano,WRI1000739,130.0,-2.5213,121.357,Hydro,,,,,PT. Inco,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1025948,,,,,,,,,,338.09,252.07,306.96,344.3,354.37,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15648,IDN,Indonesia,Banten Serang power station,WRI1075800,660.0,-5.883,106.0459,Coal,,,,2017.0,PT Lestari Baten Energi (LBE),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3591.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15649,IDN,Indonesia,Batu Hijau power station,WRI1075801,124.0,-8.9012,116.7382,Coal,,,,1999.0,Pt Newmont Nusa Tenggara,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,674.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15650,IDN,Indonesia,Bengkok+Dago/saguling,WRI1000743,3.85,-6.6247,107.5564,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,13.0,10.85,13.53,13.6,13.49,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15651,IDN,Indonesia,Besai - Way Kanan,WRI1000744,92.8,-4.9822,104.8051,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026048,,,,,,,,,,268.15,244.77,253.6,273.52,280.63,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15652,IDN,Indonesia,Bili bili,WRI1000745,20.1,-5.2779,119.5817,Hydro,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1092163,,,,,,,,,,60.04,44.78,55.22,61.21,62.74,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15653,IDN,Indonesia,Bitung - Menado,WRI1000746,56.62,1.4451,125.1824,Oil,,,,,PLN-Nth & Ctrl Sulawesi & Gorontalo Reg Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,102.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15654,IDN,Indonesia,Celukan Bawang power station,WRI1075802,381.0,-8.1963,114.8516,Coal,,,,2015.0,PT General Energy Bali,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,2073.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15655,IDN,Indonesia,Cikalong/saguling,WRI1000747,19.2,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026135,,,,,,,,,,70.7,65.53,63.95,76.04,65.27,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15656,IDN,Indonesia,Cikarang Babelan power station,WRI1075803,280.0,-6.1161,107.052,Coal,,,,2017.0,PT Cikarang Listrindo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1523.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15657,IDN,Indonesia,Cilacap Sumber power station,WRI1075804,1260.0,-7.6832,109.0964,Coal,,,,2011.0,Sumber Segara Primadaya,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,6856.89,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15658,IDN,Indonesia,CirataI & II,WRI1000748,1008.0,-6.7004,107.3671,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026056,,,,,,,,,,3426.09,2354.32,3099.69,3272.44,3205.36,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15659,IDN,Indonesia,Darajat 1,WRI1000750,55.0,-7.2173,107.7394,Geothermal,,,,,PLN – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15660,IDN,Indonesia,Darajat 2  3,WRI1000751,215.0,-7.2173,107.7394,Geothermal,,,,,PT. Chevron Geothermal Darajat  Ltd,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15661,IDN,Indonesia,Dieng,WRI1000752,60.0,-7.2061,109.9119,Geothermal,,,,,PT. Geo Dipa Energy,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1018473,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15662,IDN,Indonesia,Giringan - Pamekasan,WRI1000755,3.2,-7.7201,111.6715,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026067,,,,,,,,,,6.65,6.55,7.17,7.1,7.08,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15663,IDN,Indonesia,Golang - Pamekasan,WRI1000756,2.7,-8.1408,111.1317,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026068,,,,,,,,,,9.34,6.6,8.09,9.68,9.64,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15664,IDN,Indonesia,Gunung Malang,WRI1000758,25.536,-6.7409,106.673,Oil,,,,,PLN-East Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,46.09,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15665,IDN,Indonesia,Gunung Salak,WRI1000759,375.0,-6.7416,106.648,Geothermal,,,,,PT. Chevron Geothermal Salak  Ltd,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026072,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15666,IDN,Indonesia,Jatiluhur,WRI1000762,186.0,-6.523,107.389,Hydro,,,,,Perum Jasa Tirta II,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,,,,,,670.77,452.3,524.85,671.81,664.17,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15667,IDN,Indonesia,Kalteng-1 Pulang Pisau power station,WRI1075805,120.0,-2.8226,114.2088,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,653.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15668,IDN,Indonesia,Kaltim Teluk Balikpapan power station,WRI1075806,220.0,-1.1704,116.7887,Coal,,,,2015.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15669,IDN,Indonesia,Kamojang 1  2  3,WRI1000764,140.0,-6.4239,107.4553,Geothermal,,,,,PLN – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026079,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15670,IDN,Indonesia,Kamojang 4,WRI1000765,60.0,-6.4239,107.4553,Geothermal,,,,,PT. Pertamina Geothermal Energy,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026079,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15671,IDN,Indonesia,Kayu Merah - Ternate,WRI1000769,21.084,0.8,127.4,Oil,,,,,PLN - Maluku Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1093482,,,,,,,,,,,,,,38.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15672,IDN,Indonesia,Keban Agung power station,WRI1075807,270.0,-3.7515,103.6481,Coal,,,,2015.0,PT Primanaya Energi,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1469.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15673,IDN,Indonesia,Kendari - Rental,WRI1000771,36.3,1.0591,120.798,Oil,,,,,PLN - Rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026082,,,,,,,,,,,,,,65.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15674,IDN,Indonesia,Ketapang Smelter power station,WRI1075808,80.0,-2.3662,110.1573,Coal,,,,2016.0,PT Well Harvest Winning Alumina Refinery,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,435.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15675,IDN,Indonesia,Ketenger / mrica,WRI1000772,8.04,-7.5097,109.2778,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050220,,,,,,,,,,33.59,25.5,29.83,35.02,32.34,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15676,IDN,Indonesia,Klambu/Mrica,WRI1000773,1.117,-7.0069,110.7964,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,3.78,3.34,3.9,3.88,3.58,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15677,IDN,Indonesia,Koto Panjang Kampar,WRI1000775,114.0,0.2905,100.8814,Hydro,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,419.08,310.21,359.57,397.38,420.15,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15678,IDN,Indonesia,Kracak/saguling,WRI1000776,18.9,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026135,,,,,,,,,,69.59,64.51,62.95,74.85,64.25,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15679,IDN,Indonesia,Lahendong (Binary Cycle),WRI1000777,20.0,1.3346,124.8392,Geothermal,,,,,BPPT + Pertamina,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026087,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15680,IDN,Indonesia,Lahendong IV,WRI1000778,80.0,1.2542,124.8225,Geothermal,,,,,PLN + Pertamina Geothermal Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1087858,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15681,IDN,Indonesia,Lamajan/saguling,WRI1000779,19.56,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026135,,,,,,,,,,72.02,65.75,64.14,77.47,66.5,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15682,IDN,Indonesia,Lampung Sebalang power station,WRI1075809,200.0,-5.5859,105.3872,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15683,IDN,Indonesia,Larona,WRI1000780,165.0,-2.8194,121.5783,Hydro,,,,,PT. Inco,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1025949,,,,,,,,,,487.39,423.65,445.46,510.49,460.54,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15684,IDN,Indonesia,Lau Renun,WRI1000781,82.0,3.0824,98.065,Hydro,,,,,PLN - Pandan Sector,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026134,,,,,,,,,,281.58,231.76,248.79,271.47,271.06,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15685,IDN,Indonesia,Lodoyo - Brantas,WRI1000783,4.5,-8.1613,112.2173,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026092,,,,,,,,,,17.16,12.97,15.44,18.26,17.08,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15686,IDN,Indonesia,Maninjau III,WRI1000785,123.0,-0.2923,100.152,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026095,,,,,,,,,,319.89,238.5,290.43,325.76,335.29,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15687,IDN,Indonesia,Medan Steel Mill Power Plant,WRI1075810,60.0,3.6676,98.6654,Coal,,,,2017.0,PT Gahapi Nisco Steel,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15688,IDN,Indonesia,Mendalan - Brantas,WRI1000788,23.0,-7.854,112.3316,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026099,,,,,,,,,,89.18,64.91,69.64,87.87,83.64,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15689,IDN,Indonesia,Merak power station,WRI1075811,120.0,-5.884,106.0642,Coal,,,,2014.0,PT Merak Energi,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,653.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15690,IDN,Indonesia,Minahasa - rental,WRI1000791,35.0,-1.4789,122.3858,Oil,,,,,PLN - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026100,,,,,,,,,,,,,,63.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15691,IDN,Indonesia,Musi,WRI1000792,215.475,-3.766,102.435,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026105,,,,,,,,,,561.45,422.24,513.22,571.75,588.43,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15692,IDN,Indonesia,Ngebel - Pamekasan,WRI1000793,2.2,-7.7891,111.6167,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026106,,,,,,,,,,7.89,7.12,8.26,8.38,7.91,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15693,IDN,Indonesia,North Duri Cogeneration Plant,WRI1000794,300.0,1.3722,101.226,Gas,,,,,PT Mandau Cipta Tenaga Nusanatara (subsidiary of Chevron),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1092378,,,,,,,,,,,,,,1250.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15694,IDN,Indonesia,PB. Sudirman/Mrica,WRI1000800,180.9,-7.3927,109.6054,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026120,,,,,,,,,,574.49,398.71,459.9,565.77,567.57,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15695,IDN,Indonesia,PLTG (ex PLTD Sunyaragi),WRI1000809,18.0,-7.4064,109.5842,Gas,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026057,,,,,,,,,,,,,,75.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15696,IDN,Indonesia,PLTG Belawan,WRI1000817,260.0,3.5833,98.6667,Gas,,,,,PLN / KITSUMBAGUT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026045,,,,,,,,,,,,,,1083.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15697,IDN,Indonesia,PLTG Belawan TTF,WRI1000818,105.0,3.5833,98.6667,Gas,,,,,PLN / KITSUMBAGUT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026045,,,,,,,,,,,,,,437.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15698,IDN,Indonesia,PLTG Cikarang Listrindo,WRI1000821,150.0,-6.1133,106.7788,Gas,,,,,PT. Cikarang Listrindo,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,625.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15699,IDN,Indonesia,PLTG Cilacap,WRI1000822,55.0,-7.7264,109.0094,Gas,,,,,PLN – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,229.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
