rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
15760,IDN,Indonesia,PLTU Ombilin - Sijantang - Sawahlunto,WRI1000960,200.0,-0.6094,100.7535,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026107,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15761,IDN,Indonesia,PLTU Paiton I Unit 7 & 8,WRI1000941,5355.0,-7.7184,113.5827,Coal,,,,,PT. Paiton Energy Corp,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026016,,,,,,,,,,,,,,29141.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15762,IDN,Indonesia,PLTU Pakerin,WRI1000965,34.0,-2.5213,121.357,Coal,,,,,PT. Pakerin (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,185.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15763,IDN,Indonesia,PLTU Pangkalan Bun,WRI1000966,14.0,-2.6833,111.6167,Coal,,,,,PT. Energi Listrik Indonesia (subsidiary of PT. Eksploitasi Energi Indonesia),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026115,,,,,,,,,,,,,,76.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15764,IDN,Indonesia,PLTU Pangkalan Susu 1 & 2,WRI1000967,400.0,4.1196,98.2555,Coal,,,,,PLN (EPC : PT. Bagus Karya  Guangdong Power Engineering  PT. Nincec Multi Dimensi),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1079188,,,,,,,,,,,,,,2176.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15765,IDN,Indonesia,PLTU Perak,WRI1000970,100.0,-7.2492,112.7508,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15766,IDN,Indonesia,PLTU Priok 3 & 4,WRI1000972,100.0,-6.1071,106.8716,Coal,,,,,PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15767,IDN,Indonesia,PLTU Rancong,WRI1000974,30.0,-2.5213,121.357,Coal,,,,,PT. Jorindo Aceh Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15768,IDN,Indonesia,PLTU Sanggau,WRI1000975,14.0,-2.5213,121.357,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1102412,,,,,,,,,,,,,,76.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15769,IDN,Indonesia,PLTU Simpang Belimbing,WRI1000978,227.0,-3.4,104.1158,Coal,,,,,PT. Guo Hua Energy Musi Makmur,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1075907,,,,,,,,,,,,,,1235.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15770,IDN,Indonesia,PLTU Sulawesi Selatan - Barru/FTP1,WRI1000979,100.0,-4.2931,119.6326,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15771,IDN,Indonesia,PLTU Sumbar - Teluk sirih Unit 1,WRI1000980,112.0,-1.0772,100.3727,Coal,,,,,PLN (EPC: CNTIC (China National Tecnical Import Corporation)),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1066878,,,,,,,,,,,,,,609.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15772,IDN,Indonesia,PLTU Suparma,WRI1000981,27.0,-2.5213,121.357,Coal,,,,,PT. Suparma (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,146.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15773,IDN,Indonesia,PLTU Suralaya,WRI1000982,3400.0,-5.892,106.03,Coal,,,,,PLN -.PT Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026152,,,,,,,,,,,,,,18502.72,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15774,IDN,Indonesia,PLTU Tabalong,WRI1000983,60.0,-2.5213,121.357,Coal,,,,,PT. Makmur Sejahtera Wisesa (owned by PT. Adaro),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15775,IDN,Indonesia,PLTU Tambak Lorok,WRI1000984,300.0,-6.9507,110.4304,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026156,,,,,,,,,,,,,,1632.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15776,IDN,Indonesia,PLTU Tanjung Alam Perkasa,WRI1000985,7.5,-2.5213,121.357,Coal,,,,,PT. Tanjung Alam Perkasa,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,40.81,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15777,IDN,Indonesia,PLTU Tanjung Enim -Bukit Asam,WRI1000988,260.0,-3.7316,103.7975,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1076783,,,,,,,,,,,,,,1414.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15778,IDN,Indonesia,PLTU Tanjung Jati B,WRI1000990,1320.0,-6.446,110.7423,Coal,,,,,PT. Central Java Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,,,,,,,,7183.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15779,IDN,Indonesia,PLTU Tanjung Jati B - expansion,WRI1000991,1324.0,-6.446,110.7423,Coal,,,,,PT. Central Java Power (EPC : Korea Midland Power Co),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,,,,,,,,7205.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15780,IDN,Indonesia,PLTU Tanjung Kasam,WRI1000992,110.0,1.0455,104.133,Coal,,,,,PT. Tanjung Kasam Power Batam (PT. TJK Power),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1060288,,,,,,,,,,,,,,598.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15781,IDN,Indonesia,PLTU Tarahan # 1  2,WRI1000994,200.0,-5.518,105.35,Coal,,,,,Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026163,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15782,IDN,Indonesia,PLTU Tarahan 3 & 4 - Sebalang,WRI1000995,200.0,-5.518,105.35,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15783,IDN,Indonesia,PLTU Tello,WRI1000997,25.0,-5.14,119.4221,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,136.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15784,IDN,Indonesia,PLTU Tonasa II (Boiler Turbine Generator),WRI1000999,70.0,-4.7846,119.6163,Coal,,,,,PT. Semen Gresik Tbk/PT. Semen Indonesia,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,380.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15785,IDN,Indonesia,Pacitan power station,WRI1075812,630.0,-8.2578,111.3736,Coal,,,,2011.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3428.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15786,IDN,Indonesia,Pejengkolan/Mrica,WRI1000801,1.4,-7.5694,109.8006,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026121,,,,,,,,,,2.83,2.23,2.96,3.02,3.01,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15787,IDN,Indonesia,Pekanbaru Tenayan power station,WRI1075813,220.0,0.5644,101.5234,Coal,,,,2016.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15788,IDN,Indonesia,Pemaron BOO,WRI1000802,45.0,-8.1189,115.0887,Oil,,,,,PT. Cogindo DayaBersama - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1054581,,,,,,,,,,,,,,81.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15789,IDN,Indonesia,Perawang Mill power station,WRI1075814,755.0,0.6893,101.6191,Coal,,,,2009.0,PT Indah Kiat Pulp & Paper,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,4108.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15790,IDN,Indonesia,Pesanggaran,WRI1000803,75.78,-8.7157,115.214,Oil,,,,,INDONESIA POWER UNIT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,,,,,,,,136.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15791,IDN,Indonesia,Pesanggaran BOO,WRI1000804,75.0,-8.7157,115.214,Oil,,,,,Anggreko International - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,,,,,,,,135.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15792,IDN,Indonesia,Pesanggaran BOT,WRI1000805,51.0,-8.7157,115.214,Oil,,,,,Anggreko International - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026037,,,,,,,,,,,,,,92.06,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15793,IDN,Indonesia,Plengan/Saguling,WRI1000806,6.87,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,24.7,24.04,23.47,26.71,23.28,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15794,IDN,Indonesia,Purwakarta Indorama Power Station,WRI1075815,60.0,-6.5539,107.4137,Coal,,,,2006.0,PT Indorama Synthetics Tbk,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15795,IDN,Indonesia,Riam Kanan/pangeran Muhamad Nur,WRI1001004,30.0,-3.5156,115.0074,Hydro,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,102.63,81.56,87.65,97.75,102.52,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15796,IDN,Indonesia,Saguling,WRI1001005,700.72,-6.9126,107.3663,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026135,,,,,,,,,,2110.52,1512.59,2024.74,2178.25,2110.52,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15797,IDN,Indonesia,Sempor/Mrica,WRI1001009,1.0,-7.4733,109.3331,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050218,,,,,,,,,,3.35,3.45,3.96,3.31,3.53,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15798,IDN,Indonesia,Sengguruh - Brantas,WRI1001010,29.0,-8.1764,112.551,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026143,,,,,,,,,,99.96,68.14,80.5,104.17,99.98,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15799,IDN,Indonesia,Sidorejo/Mrica,WRI1001013,1.4,-7.4764,110.2622,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050222,,,,,,,,,,3.78,3.83,4.47,3.98,4.23,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15800,IDN,Indonesia,Sigura gura (asahan II),WRI1001014,286.0,2.5196,99.2793,Hydro,,,,,PT. Indonesia Asahan aluminium,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,870.63,615.78,742.08,800.14,835.99,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15801,IDN,Indonesia,Silae,WRI1001015,43.7,-0.8917,119.8707,Oil,,,,,PLN-Nth & Ctrl Sulawesi & Gorontalo Reg Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026112,,,,,,,,,,,,,,78.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15802,IDN,Indonesia,Singkarak,WRI1001017,175.0,-0.6909,100.6034,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026146,,,,,,,,,,551.31,462.3,484.64,533.52,559.21,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15803,IDN,Indonesia,Sipansihaporas,WRI1001018,50.0,1.7427,98.7792,Hydro,,,,,PLN - North Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1055420,,,,,,,,,,160.65,122.7,148.67,163.59,167.37,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15804,IDN,Indonesia,Sulawesi Mining power station,WRI1075816,280.0,-2.8274,122.1553,Coal,,,,2016.0,Sulawesi Mining Investment,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1523.75,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15805,IDN,Indonesia,Suppa - Pare pare,WRI1001020,60.0,-4.0135,119.6255,Oil,,,,,PT. Makasar Power (Alsons Power Holdings Corp + Toyota Tsusho Corp/Tomen + Singapore Power),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026118,,,,,,,,,,,,,,108.3,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15806,IDN,Indonesia,Sutami / Karangkates - Brantas,WRI1001021,105.0,-8.1606,112.4443,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026154,,,,,,,,,,371.79,266.78,301.33,387.04,371.86,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15807,IDN,Indonesia,Talang Padang,WRI1001023,12.5,-0.9492,100.3543,Oil,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1093596,,,,,,,,,,,,,,22.56,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15808,IDN,Indonesia,Tangga (asahan II),WRI1001024,317.0,2.5479,99.3028,Hydro,,,,,PT. Indonesia Asahan aluminium,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1025945,,,,,,,,,,965.0,682.53,822.52,886.87,926.6,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15809,IDN,Indonesia,Tanjung Awar-Awar power station,WRI1075817,700.0,-6.8105,111.9955,Coal,,,,2012.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3809.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15810,IDN,Indonesia,Tegineneng,WRI1001028,28.2,-5.6015,104.7988,Oil,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026165,,,,,,,,,,,,,,50.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15811,IDN,Indonesia,Tello,WRI1001031,50.092,-5.14,119.4221,Oil,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026174,,,,,,,,,,,,,,90.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15812,IDN,Indonesia,Tenau Kupang,WRI1001033,34.73,-10.1667,123.5833,Oil,,,,,PLN - East Nusa Tenggara Regional Unit/NTT,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026086,,,,,,,,,,,,,,62.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15813,IDN,Indonesia,Timo / Mrica,WRI1001035,12.0,-6.9485,110.4069,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026168,,,,,,,,,,36.17,27.97,34.2,37.89,37.79,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15814,IDN,Indonesia,Tulungagung - Brantas,WRI1001038,36.0,-8.0657,111.9025,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026172,,,,,,,,,,125.46,98.39,106.37,124.04,132.82,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15815,IDN,Indonesia,Ubrug/saguling,WRI1001039,18.36,-6.9039,107.6186,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,67.6,62.66,61.15,72.72,62.42,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15816,IDN,Indonesia,Ulubelu 1 & 2,WRI1001040,110.0,-5.3096,104.5733,Geothermal,,,,,PT. PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1011547,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15817,IDN,Indonesia,Wayang Windu,WRI1001044,227.0,-7.1966,107.6258,Geothermal,,,,,PT. Star Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1010414,,,,,,,,,,,,,,,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
15818,IDN,Indonesia,Wlingi - Brantas,WRI1001045,54.0,-8.0776,112.3311,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026178,,,,,,,,,,158.18,138.62,149.71,161.31,165.44,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15819,IDN,Indonesia,Wonorejo - Pamekasan,WRI1001046,6.3,-8.1136,112.2869,Hydro,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1055424,,,,,,,,,,24.89,17.37,21.45,26.43,24.77,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
